"","LoF_T","LoF_UT","LoF_OR","LoF_P_value","Missense_T","Missense_UT","Missense_OR","Missense_P_value","LoF.Missense_T","LoF.Missense_UT","LoF.Missense_OR","LoF.Missense_P_value"
"SLC35A3",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
"RBP7",1,4,0.250027596706012,0.96875,0,0,0,1,1,4,0.250027596706012,0.96875
"SASS6",3,7,0.428557766080607,0.9453125,0,0,0,1,3,7,0.428557766080607,0.9453125
"TRMT13",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"LRRC39",14,10,1.39997810116283,0.270628094673157,0,0,0,1,14,10,1.39997810116283,0.270628094673157
"DBT",5,1,4.99958044879101,0.109375,0,0,0,1,5,1,4.99958044879101,0.109375
"RTCA",3,5,0.600013956752488,0.85546875,0,0,0,1,3,5,0.600013956752488,0.85546875
"CDC14A",10,15,0.666679312250328,0.885238528251648,0,0,0,1,10,15,0.666679312250328,0.885238528251648
"GPR88",1,0,Inf,0.5,6,14,0.428557848039176,0.979305267333984,7,14,0.500014257123077,0.960823059082031
"VCAM1",2,1,1.99994298122268,0.5,0,0,0,1,2,1,1.99994298122268,0.5
"UBE4B",23,18,1.27776388927709,0.266354627618057,9,9,1,0.592735290527344,32,27,1.18517691226563,0.301461600628576
"EXTL2",2,3,0.666679308369914,0.8125,0,0,0,1,2,3,0.666679308369914,0.8125
"SLC30A7",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"DPH5",4,2,1.99994297987752,0.34375,0,0,0,1,4,2,1.99994297987752,0.34375
"S1PR1",3,4,0.750009838248499,0.7734375,19,17,1.11764232910394,0.43396970021422,22,21,1.04763315759122,0.5
"ISG15",0,0,0,1,0,0,0,1,0,0,0,1
"OLFM3",1,1,1,0.75,0,0,0,1,1,1,1,0.75
"AGRN",11,9,1.22221178418982,0.411901473999024,0,0,0,1,11,9,1.22221178418982,0.411901473999024
"KIF1B",1,0,Inf,0.5,28,36,0.777786487660246,0.869782261711673,29,36,0.805563085288591,0.839457932157501
"COL11A1",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"RNPC3",9,5,1.79995360406146,0.21197509765625,0,0,0,1,9,5,1.79995360406146,0.21197509765625
"AMY2B",1,4,0.250027596706012,0.96875,0,0,0,1,1,4,0.250027596706012,0.96875
"AMY2A",1,1,1,0.75,7,7,1,0.604736328125,8,8,1,0.598190307617187
"AMY1C",0,3,0,1,1,1,1,0.75,1,4,0.250027596706012,0.96875
"PGD",2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
"CORT",1,3,0.33332444571292,0.9375,0,0,0,1,1,3,0.33332444571292,0.9375
"DFFA",13,4,3.25017674734486,0.0245208740234375,0,0,0,1,13,4,3.25017674734486,0.0245208740234375
"PEX14",1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
"PRMT6",2,3,0.666679308369914,0.8125,1,2,0.500014255100735,0.875,3,5,0.600013956752488,0.85546875
"NTNG1",2,1,1.99994298122268,0.5,2,0,Inf,0.25,4,1,3.99955850143943,0.1875
"VAV3",4,7,0.571442807317693,0.88671875,0,0,0,1,4,7,0.571442807317693,0.88671875
"SLC25A24",19,21,0.904771217408064,0.682085998685579,0,0,0,1,19,21,0.904771217408064,0.682085998685579
"NBPF4",0,0,0,1,0,0,0,1,0,0,0,1
"C1orf159",5,7,0.714296885722386,0.80615234375,0,0,0,1,5,7,0.714296885722386,0.80615234375
"NBPF6",0,0,0,1,0,0,0,1,0,0,0,1
"FAM102B",7,4,1.74995640367567,0.2744140625,0,0,0,1,7,4,1.74995640367567,0.2744140625
"HENMT1",3,2,1.49997155670705,0.5,0,0,0,1,3,2,1.49997155670705,0.5
"PRPF38B",3,4,0.750009838248499,0.7734375,2,0,Inf,0.25,5,4,1.24998786284456,0.5
"FNDC7",30,26,1.15383959743402,0.34443988036167,0,0,0,1,30,26,1.15383959743402,0.34443988036167
"STXBP3",3,2,1.49997155670705,0.5,1,0,Inf,0.5,4,2,1.99994297987752,0.34375
"AKNAD1",3,1,3.0000799907165,0.3125,0,0,0,1,3,1,3.0000799907165,0.3125
